Interval=	0.01 s
ExcelDateTime=	4.5855649139942347e+04	07/17/25 15:34:45.691019
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	PushSWE	Flow	EMG	Pressure	Flow BIS	Inspi cyclic	Expi cyclic	L/m -> L/s	VolumeResp
Range=	10.000 V	500.0 mV	100.00 mV	100.00 mV	64.18 L/min	1.1000 	1.1000 	1.07 L/s	1.00 L/s.s
UnitName=	*		*	cmH2O	*	*	*	*	*
TopValue=	*	148.52	*	3523.71	*	*	*	*	*
BottomValue=	*	-163.55	*	-3491.41	*	*	*	*	*
1.79	3.202531	-13.64384	0.115	10.71526	-13.64384	1.469056e-08	1.469056e-08	-0.2273973	-0.6641988
1.8	3.202547	-13.59746	0.6442187	10.71062	-13.59746	1.469056e-08	1.469056e-08	-0.2266244	-0.6664688
1.81	3.202773	-13.55225	0.098125	10.70183	-13.55225	1.469056e-08	1.469056e-08	-0.2258707	-0.6687312
1.82	3.202711	-13.50834	0.6178906	10.68984	-13.50834	1.469056e-08	1.469056e-08	-0.2251391	-0.6709861
1.83	3.202641	-13.46608	0.06585938	10.67572	-13.46608	1.469056e-08	1.469056e-08	-0.2244346	-0.6732339
1.84	3.202703	-13.42681	0.59375	10.66091	-13.42681	1.469056e-08	1.469056e-08	-0.2237802	-0.6754748
1.85	3.202641	-13.39078	0.05882813	10.64673	-13.39078	1.469056e-08	1.469056e-08	-0.2231797	-0.6777095
1.86	3.202641	-13.35868	0.591875	10.63434	-13.35868	1.469056e-08	1.469056e-08	-0.2226447	-0.6799385
1.87	3.202602	-13.3289	0.06742188	10.62456	-13.3289	1.469056e-08	1.469056e-08	-0.2221483	-0.6821624
1.88	3.202594	-13.30042	0.6057813	10.61774	-13.30042	1.469056e-08	1.469056e-08	-0.2216737	-0.6843814
1.89	3.202664	-13.26943	0.08164063	10.61376	-13.26943	1.469056e-08	1.469056e-08	-0.2211572	-0.6865956
1.9	3.20268	-13.2339	0.6146875	10.61214	-13.2339	1.469056e-08	1.469056e-08	-0.2205649	-0.6888042
1.91	3.202578	-13.18903	0.09054688	10.61201	-13.18902	1.469056e-08	1.469056e-08	-0.2198171	-0.6910061
1.92	3.202633	-13.13349	0.6283594	10.61253	-13.13349	1.469056e-08	1.469056e-08	-0.2188915	-0.6931998
1.93	3.202672	-13.06346	0.1054688	10.61261	-13.06346	1.469056e-08	1.469056e-08	-0.2177243	-0.6953829
1.94	3.202703	-12.97989	0.6488281	10.61164	-12.97989	1.469056e-08	1.469056e-08	-0.2163315	-0.6975532
1.95	3.202633	-12.8814	0.121875	10.60888	-12.8814	1.469056e-08	1.469056e-08	-0.21469	-0.6997083
1.96	3.202617	-12.77182	0.6575781	10.60423	-12.77182	1.469056e-08	1.469056e-08	-0.2128636	-0.701846
1.97	3.202687	-12.65233	0.1327344	10.59748	-12.65233	1.469056e-08	1.469056e-08	-0.2108721	-0.7039645
1.98	3.202625	-12.52872	0.6640625	10.58901	-12.52872	1.469056e-08	1.469056e-08	-0.208812	-0.7060627
1.99	3.202617	-12.40344	0.1246875	10.57894	-12.40344	1.469056e-08	1.469056e-08	-0.206724	-0.7081401
2	3.202648	-12.28247	0.6546875	10.56782	-12.28247	1.469056e-08	1.469056e-08	-0.2047079	-0.7101969
2.01	3.202695	-12.16766	0.1155469	10.55584	-12.16766	1.469056e-08	1.469056e-08	-0.2027943	-0.7122341
2.02	3.202703	-12.06356	0.6411719	10.54352	-12.06356	1.469056e-08	1.469056e-08	-0.2010593	-0.714253
2.03	3.202648	-11.97008	0.1039844	10.53097	-11.97008	1.469056e-08	1.469056e-08	-0.1995013	-0.7162554
2.04	3.202711	-11.88968	0.64	10.51865	-11.88968	1.469056e-08	1.469056e-08	-0.1981613	-0.7182434
2.05	3.202578	-11.82006	0.10875	10.50671	-11.82006	1.469056e-08	1.469056e-08	-0.1970009	-0.7202189
2.06	3.202648	-11.76189	0.6435156	10.49566	-11.76189	1.469056e-08	1.469056e-08	-0.1960315	-0.7221838
2.07	3.202695	-11.71126	0.1179688	10.48574	-11.71126	1.469056e-08	1.469056e-08	-0.1951877	-0.7241397
2.08	3.202656	-11.66782	0.6494531	10.47749	-11.66782	1.469056e-08	1.469056e-08	-0.1944637	-0.7260878
2.09	3.202586	-11.62696	0.1209375	10.47114	-11.62696	1.469056e-08	1.469056e-08	-0.1937826	-0.7280289
2.1	3.202703	-11.58809	0.6530469	10.46705	-11.58809	1.469056e-08	1.469056e-08	-0.1931348	-0.7299634
2.11	3.202687	-11.54685	0.12	10.4651	-11.54685	1.469056e-08	1.469056e-08	-0.1924476	-0.7318913
2.12	3.202633	-11.50307	0.6528125	10.46522	-11.50307	1.469056e-08	1.469056e-08	-0.1917178	-0.7338121
2.13	3.20257	-11.45332	0.1250781	10.46679	-11.45332	1.469056e-08	1.469056e-08	-0.1908887	-0.7357251
2.14	3.202547	-11.39827	0.6582812	10.46925	-11.39827	1.469056e-08	1.469056e-08	-0.1899712	-0.7376294
2.15	3.202687	-11.33597	0.1260156	10.4717	-11.33597	1.469056e-08	1.469056e-08	-0.1889328	-0.7395238
2.16	3.202672	-11.26836	0.6548438	10.47343	-11.26836	1.469056e-08	1.469056e-08	-0.187806	-0.7414075
2.17	3.202641	-11.19525	0.1139063	10.47374	-11.19525	1.469056e-08	1.469056e-08	-0.1865874	-0.7432794
