Interval=	0.001 s
ExcelDateTime=	4.5847400977275240e+004	09/07/2025 9:37:24.43658
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	PushSWE	Flow	EMG	Pressure	VolumeResp
Range=	10.000 V	500.0 mV	100.00 mV	100.00 mV	1.00 L/s.s
UnitName=	*	L/min	*	cmH2O	*
TopValue=	*	138.18	*	3526.16	*
BottomValue=	*	-135.94	*	-3491.39	*
0.1	2.405391	-4.301313	0.7382813	16.50945	-0.008292015
0.101	2.323594	-4.29977	0.5914063	16.50945	-0.008363687
0.102	2.387812	-4.297884	0.4085938	16.50945	-0.008435331
0.103	2.598281	-4.29549	0.1890625	16.6191	-0.008506938
0.104	2.578906	-4.292613	-0.03828125	16.53686	-0.0085785
0.105	2.314062	-4.289326	-0.271875	16.50945	-0.008650011
0.106	2.354922	-4.285668	-0.4421875	16.48203	-0.008721462
0.107	2.460781	-4.281741	-0.5226563	16.42721	-0.008792848
0.108	2.157031	-4.27762	-0.5414062	16.37238	-0.008864168
0.109	2.22125	-4.273453	-0.5375	16.34497	-0.008935419
0.11	3.096719	-4.269444	-0.43125	16.26274	-0.009006601
0.111	3.198672	-4.265836	-0.2820313	16.26274	-0.009077719
0.112	3.199688	-4.26263	-0.1117188	16.29015	-0.009148783
0.113	3.199844	-4.259873	0.1054688	16.29015	-0.009219798
0.114	3.200156	-4.258032	0.3320313	16.31756	-0.009290774
0.115	3.200469	-4.258215	0.5546875	16.37238	-0.00936174
0.116	3.200234	-4.260789	0.7070313	16.37238	-0.009432734
0.117	3.200312	-4.265183	0.796875	16.45462	-0.009503791
0.118	3.200781	-4.27009	0.8398438	16.29015	-0.009574929
0.119	3.200391	-4.275406	0.834375	16.29015	-0.009646151
0.12	3.200234	-4.281617	0.7421875	16.50945	-0.009717472
0.121	3.200625	-4.289408	0.5859375	16.42721	-0.00978891
0.122	3.200312	-4.298635	0.3992188	16.3998	-0.009860495
0.123	3.200547	-4.308949	0.1828125	16.29015	-0.009932245
0.124	3.200625	-4.320199	-0.04296875	16.23532	-0.01000418
0.125	3.200469	-4.332164	-0.2828125	16.23532	-0.0100763
0.126	3.200703	-4.344782	-0.4359375	16.29015	-0.01014864
0.127	3.200469	-4.357598	-0.5125	16.29015	-0.01022118
0.128	3.200703	-4.370527	-0.5570312	16.29015	-0.01029395
0.129	3.200469	-4.383007	-0.53125	16.29015	-0.01036692
0.13	3.200391	-4.394968	-0.4273438	16.34497	-0.01044009
0.131	3.200703	-4.40598	-0.2914063	16.15309	-0.01051346
0.132	3.200469	-4.415701	-0.109375	16.23532	-0.010587
0.133	3.200625	-4.423287	0.1	16.29015	-0.01066067
0.134	3.200547	-4.428786	0.3296875	16.31756	-0.01073445
0.135	3.200391	-4.432646	0.5390625	16.29015	-0.01080831
0.136	3.200781	-4.435514	0.6929688	16.20791	-0.01088222
0.137	3.200625	-4.436035	0.7828125	16.1805	-0.01095615
0.138	3.200859	-4.432453	0.834375	16.12567	-0.01103006
0.139	3.200703	-4.423519	0.828125	16.07085	-0.01110385
0.14	3.200547	-4.409697	0.7132813	15.98861	-0.01117743
0.141	3.200469	-4.391941	0.578125	15.90638	-0.01125075
0.142	3.200703	-4.370083	0.4109375	15.85155	-0.01132372
0.143	3.200859	-4.344357	0.2101563	15.93379	-0.0113963
0.144	3.200469	-4.314185	-0.05078125	15.93379	-0.01146839
0.145	3.200781	-4.280683	-0.2757813	15.9612	-0.01153995
0.146	3.200781	-4.243523	-0.440625	15.93379	-0.01161091
0.147	3.200625	-4.204055	-0.515625	15.79673	-0.01168123
0.148	3.200391	-4.162287	-0.553125	15.68708	-0.01175086
0.149	3.200703	-4.119483	-0.534375	15.55002	-0.01181979
0.15	3.200781	-4.07629	-0.421875	15.60484	-0.011888
0.151	3.200625	-4.034075	-0.2679688	15.63225	-0.01195549
0.152	3.200391	-3.993766	-0.1132813	15.49519	-0.01202231
0.153	3.200469	-3.956278	0.09140625	15.49519	-0.01208847
0.154	3.200938	-3.922858	0.334375	15.5226	-0.01215406
0.155	3.200391	-3.895805	0.5539063	15.38554	-0.01221915
0.156	3.200625	-3.8776	0.7078125	15.24848	-0.01228388
0.157	3.200703	-3.86894	0.7859375	15.13883	-0.0123484
0.158	3.200469	-3.869487	0.8390625	15.13883	-0.01241288
0.159	3.200625	-3.878373	0.8195313	15.16624	-0.01247745
0.16	3.200312	-3.898008	0.7109375	15.11142	-0.01254228
0.161	3.200547	-3.929082	0.5703125	15.02918	-0.01260755
0.162	3.200859	-3.974718	0.4148438	14.86471	-0.01267349
0.163	3.200781	-4.033064	0.2078125	14.64541	-0.01274033
0.164	3.200625	-4.107096	-0.05078125	14.67282	-0.0128083
0.165	3.200625	-4.194606	-0.2734375	14.67282	-0.01287764
0.166	3.200938	-4.298231	-0.4296875	14.64541	-0.01294861
0.167	3.200703	-4.41677	-0.515625	14.56317	-0.01302146
0.168	3.200703	-4.550506	-0.5515625	14.67282	-0.01309645
0.169	3.201016	-4.700239	-0.53125	14.42611	-0.01317383
0.17	3.200781	-4.86348	-0.4296875	14.42611	-0.01325385
0.171	3.200547	-5.04345	-0.2726562	14.34387	-0.01333676
0.172	3.200391	-5.234871	-0.1046875	14.34387	-0.0134228
0.173	3.200625	-5.442515	0.09375	14.23423	-0.01351219
0.174	3.200781	-5.659132	0.340625	14.23423	-0.01360514
0.175	3.200703	-5.890028	0.5554688	14.31646	-0.01370185
0.176	3.200625	-6.13155	0.7132813	14.42611	-0.01380252
0.177	3.200703	-6.384692	0.7859375	14.3987	-0.01390733
0.178	3.200703	-6.646223	0.834375	14.20681	-0.01401646
0.179	3.200703	-6.911143	0.8132813	14.23423	-0.01412998
0.18	3.200625	-7.181905	0.7117188	14.26164	-0.01424799
0.181	3.200703	-7.452645	0.55625	14.45352	-0.0143705
0.182	3.200703	-7.730235	0.4070313	14.34387	-0.0144976
0.183	3.200625	-8.004964	0.1976563	14.34387	-0.0146293
0.184	3.200547	-8.282709	-0.0484375	14.31646	-0.01476561
0.185	3.200625	-8.556666	-0.2632813	14.15199	-0.01490651
0.186	3.200703	-8.829579	-0.4085938	14.12458	-0.01505196
0.187	3.200859	-9.099112	-0.50625	14.09716	-0.01520195
0.188	3.200547	-9.363578	-0.5601563	14.20681	-0.01535635
0.189	3.200703	-9.625419	-0.5335937	14.15199	-0.01551515
0.19	3.200469	-9.878809	-0.4210938	14.09716	-0.01567822
0.191	3.200781	-10.1305	-0.2664063	14.09716	-0.0158455
0.192	3.200469	-10.37227	-0.115625	14.06975	-0.01601686
0.193	3.200547	-10.61089	0.096875	14.09716	-0.01619223
0.194	3.200781	-10.8403	0.334375	14.06975	-0.01637148
0.195	3.200703	-11.06475	0.5335937	14.12458	-0.01655449
0.196	3.200547	-11.28399	0.6757813	14.20681	-0.0167412
0.197	3.200547	-11.49823	0.78125	14.09716	-0.01693149
0.198	3.200703	-11.70865	0.8429688	13.98751	-0.01712534
0.199	3.200625	-11.9091	0.7992188	14.04234	-0.01732258
0.2	2.454219	-12.10526	0.709375	13.9601	-0.01752312
0.201	2.460859	-12.29205	0.58125	14.01493	-0.01772682
0.202	2.726719	-12.47696	0.4265625	14.06975	-0.01793362
