Interval=	0.001 s
ExcelDateTime=	4.5862649149055105e+004	24/07/2025 15:34:46.478361
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	PushSWE	Flow	EMG	Pressure	VolumeResp
Range=	10.000 V	500.0 mV	100.00 mV	100.00 mV	1.00 L/s.s
UnitName=	*	L/min	*	cmH2O	*
TopValue=	*	175.24	*	3526.16	*
BottomValue=	*	-179.51	*	-3491.39	*
0.127	3.198906	33.8775	0.1328125	12.06865	0.08058408
0.128	3.19875	33.87426	0.04921875	12.09607	0.08114867
0.129	3.199375	33.87114	0.00390625	12.12348	0.08171321
0.13	3.198906	33.86815	-0.0203125	12.04124	0.0822777
0.131	3.199141	33.86539	-0.02734375	12.06865	0.08284214
0.132	3.199531	33.86296	-0.03671875	12.04124	0.08340653
0.133	3.198906	33.86108	-0.04375	12.12348	0.0839709
0.134	3.198984	33.85972	-0.04296875	12.15089	0.08453523
0.135	3.199219	33.85873	-0.01875	12.01383	0.08509955
0.136	3.19875	33.85788	0.00703125	12.01383	0.08566385
0.137	3.199297	33.85757	0.06484375	12.06865	0.08622815
0.138	3.199063	33.85833	0.221875	12.09607	0.08679245
0.139	3.198828	33.86053	0.3976563	11.90418	0.08735677
0.14	3.199297	33.86403	0.5734375	11.98642	0.08792115
0.141	3.199688	33.86853	0.6796875	11.90418	0.0884856
0.142	3.198828	33.87407	0.7101563	11.87677	0.08905013
0.143	3.199141	33.88062	0.6929688	12.04124	0.08961477
0.144	3.199063	33.88832	0.6023438	12.04124	0.09017952
0.145	3.198984	33.8969	0.4515625	12.1783	0.09074441
0.146	3.199141	33.90644	0.265625	12.09607	0.09130946
0.147	3.199141	33.91658	0.1242188	12.12348	0.09187467
0.148	3.198906	33.92734	0.04765625	12.09607	0.09244006
0.149	3.199141	33.93839	0.003125	12.12348	0.09300563
0.15	3.19875	33.94954	-0.0265625	12.23313	0.09357139
0.151	3.198984	33.96044	-0.02734375	12.23313	0.09413733
0.152	3.199297	33.97084	-0.03125	12.28795	0.09470344
0.153	3.199141	33.98055	-0.04453125	12.20571	0.09526973
0.154	3.198672	33.98924	-0.0359375	12.1783	0.09583616
0.155	3.199063	33.9962	-0.03671875	12.23313	0.09640272
0.156	3.198828	34.00067	-0.01015625	12.20571	0.09696937
0.157	3.198906	34.00253	0.046875	12.1783	0.09753608
0.158	3.199375	34.00206	0.2148438	12.23313	0.09810278
0.159	3.199141	33.99962	0.4132813	12.23313	0.09866946
0.16	3.19875	33.99456	0.571875	12.15089	0.09923607
0.161	3.199219	33.9866	0.6726563	12.12348	0.09980257
0.162	3.199141	33.97489	0.7132813	12.04124	0.1003689
0.163	3.19875	33.95994	0.7015625	12.15089	0.100935
0.164	3.199063	33.94102	0.6132813	12.12348	0.1015008
0.165	3.199141	33.91869	0.4507813	12.09607	0.1020663
0.166	3.199063	33.89227	0.2789063	12.04124	0.1026313
0.167	3.199453	33.86207	0.1367188	12.12348	0.1031959
0.168	3.198906	33.828	0.04609375	12.20571	0.1037599
0.169	3.198984	33.78986	0.01015625	12.20571	0.1043233
0.17	3.199063	33.74827	-0.0015625	12.23313	0.104886
0.171	3.198828	33.70235	-0.01328125	12.15089	0.105448
0.172	3.198984	33.65345	-0.02890625	12.12348	0.1060092
0.173	3.198828	33.60038	-0.04375	12.23313	0.1065696
0.174	3.199219	33.54501	-0.02734375	12.1783	0.107129
0.175	3.198828	33.4858	-0.01640625	12.15089	0.1076875
0.176	3.199141	33.42343	-0.015625	12.23313	0.1082449
0.177	3.199453	33.35763	0.05390625	12.09607	0.1088013
0.178	3.19875	33.28952	0.23125	12.09607	0.1093565
0.179	3.199297	33.22067	0.421875	12.1783	0.1099107
0.18	3.198906	33.15047	0.5773438	12.15089	0.1104636
0.181	3.199063	33.0802	0.6679688	12.04124	0.1110154
0.182	3.199219	33.00795	0.7140625	12.15089	0.111566
0.183	3.199375	32.93627	0.6976563	12.20571	0.1121154
0.184	3.198984	32.86366	0.5992188	12.20571	0.1126635
0.185	3.198984	32.79189	0.4453125	12.1783	0.1132105
0.186	3.199141	32.72021	0.2773438	12.01383	0.1137563
0.187	3.198828	32.64917	0.1054688	12.06865	0.1143009
0.188	3.199297	32.57923	0.0234375	12.12348	0.1148443
0.189	3.199453	32.50967	0.00859375	12.12348	0.1153866
0.19	3.198828	32.44205	0.00078125	12.01383	0.1159277
0.191	3.198828	32.37443	-0.02265625	12.06865	0.1164677
0.192	3.199219	32.30901	-0.0328125	12.04124	0.1170066
0.193	3.198828	32.24394	-0.02734375	12.15089	0.1175444
0.194	3.199453	32.1809	-0.02109375	12.15089	0.1180811
0.195	3.198906	32.11857	-0.0203125	12.1783	0.1186168
0.196	3.199063	32.0566	-0.01796875	12.15089	0.1191515
0.197	2.944375	31.99483	0.05234375	12.1783	0.1196851
0.198	2.892891	31.93315	0.2273438	12.12348	0.1202177
0.199	3.025	31.87383	0.415625	12.12348	0.1207493
0.2	2.209219	31.8153	0.5765625	12.26054	0.1212799
0.201	1.665234	31.75883	0.68125	12.1783	0.1218096
0.202	1.679609	31.70201	0.7226563	12.20571	0.1223383
0.203	1.992656	31.64606	0.6960938	12.20571	0.1228661
0.204	2.528594	31.59023	0.5929688	12.20571	0.123393
0.205	2.877109	31.53473	0.4484375	12.12348	0.1239189
0.206	3.195234	31.47964	0.2859375	12.1783	0.1244439
0.207	3.197812	31.42403	0.1179688	12.15089	0.124968
0.208	3.198203	31.36908	0.03828125	12.04124	0.1254911
0.209	3.198516	31.31298	0.00625	12.04124	0.1260134
0.21	3.198828	31.25755	0.00234375	12.06865	0.1265347
0.211	3.198359	31.20096	-0.021875	12.1783	0.1270551
0.212	3.198594	31.14433	-0.0375	12.26054	0.1275745
0.213	3.19875	31.08693	-0.03203125	12.20571	0.128093
0.214	3.198672	31.02916	-0.03125	12.12348	0.1286105
0.215	3.198906	30.97117	-0.0265625	12.15089	0.129127
0.216	3.199219	30.91129	-0.0046875	12.20571	0.1296426
0.217	3.198906	30.85036	0.05703125	11.98642	0.1301571
0.218	3.198984	30.7872	0.2195313	12.06865	0.1306707
0.219	3.199219	30.72508	0.4125	12.23313	0.1311831
0.22	3.19875	30.66289	0.56875	12.28795	0.1316946
0.221	3.198984	30.60148	0.6820313	12.34278	0.132205
0.222	3.199141	30.53936	0.725	12.15089	0.1327143
0.223	3.198828	30.47667	0.6835938	12.1783	0.1332227
0.224	3.198984	30.41401	0.584375	12.15089	0.13373
0.225	3.199375	30.35062	0.4632813	12.31536	0.1342362
0.226	3.198828	30.28789	0.2789063	12.26054	0.1347414
0.227	3.198984	30.22391	0.1179688	12.1783	0.1352455
0.228	3.199375	30.16081	0.03828125	12.1783	0.1357486
0.229	3.198672	30.09673	0.00390625	12.15089	0.1362506
0.23	3.198828	30.03309	-0.01015625	12.06865	0.1367516
0.231	3.199453	29.96899	-0.02578125	12.01383	0.1372515
0.232	3.198984	29.90461	-0.028125	12.12348	0.1377503
0.233	3.198906	29.84032	-0.040625	12.26054	0.138248
0.234	3.199141	29.77545	-0.01796875	12.34278	0.1387447
0.235	3.199063	29.71143	-0.0203125	12.3976	0.1392403
0.236	3.199141	29.6456	-0.00234375	12.3976	0.1397348
0.237	3.199297	29.57931	0.07734375	12.3976	0.1402282
0.238	3.198828	29.51095	0.2289063	12.34278	0.1407205
0.239	3.199063	29.44336	0.40625	12.28795	0.1412116
0.24	3.198906	29.37664	0.5789063	12.28795	0.1417016
0.241	3.199297	29.31074	0.6945313	12.3976	0.1421905
0.242	3.198984	29.24509	0.7117188	12.47984	0.1426784
0.243	3.199453	29.17842	0.6898438	12.45243	0.1431651
